,N,T,XN,f,x
313,500.0,4.0,0.5007493917061302,1.0,0.5
314,500.0,5.0,0.500845092921981,1.0,0.5
315,10.0,1.0,0.5062681971764289,1.1,0.5
316,10.0,2.0,0.5154324982295742,1.1,0.5
317,10.0,3.0,0.5219746470023789,1.1,0.5
318,10.0,4.0,0.5261182865641618,1.1,0.5
319,10.0,5.0,0.5286403025588318,1.1,0.5
320,20.0,1.0,0.5031762634138317,1.1,0.5
321,20.0,2.0,0.5084882346931908,1.1,0.5
322,20.0,3.0,0.5129021836233846,1.1,0.5
323,20.0,4.0,0.5160267402504333,1.1,0.5
324,20.0,5.0,0.5181084214633569,1.1,0.5
325,50.0,1.0,0.5012220204581882,1.1,0.5
326,50.0,2.0,0.5032561457550342,1.1,0.5
327,50.0,3.0,0.5049934107260671,1.1,0.5
328,50.0,4.0,0.5062499520760867,1.1,0.5
329,50.0,5.0,0.5070981747489806,1.1,0.5
330,100.0,1.0,0.5005912953294502,1.1,0.5
331,100.0,2.0,0.5015670427922648,1.1,0.5
332,100.0,3.0,0.5023949564825447,1.1,0.5
333,100.0,4.0,0.5029880523821638,1.1,0.5
334,100.0,5.0,0.50338368743377,1.1,0.5
335,200.0,1.0,0.5002858393897054,1.1,0.5
336,200.0,2.0,0.5007555378228193,1.1,0.5
337,200.0,3.0,0.5011528638037316,1.1,0.5
338,200.0,4.0,0.5014362365231924,1.1,0.5
339,200.0,5.0,0.5016242416958183,1.1,0.5
340,300.0,1.0,0.5001867925696292,1.1,0.5
341,300.0,2.0,0.5004933114581522,1.1,0.5
342,300.0,3.0,0.5007523582749852,1.1,0.5
343,300.0,4.0,0.500936860422888,1.1,0.5
344,300.0,5.0,0.5010590683798951,1.1,0.5
345,500.0,1.0,0.5001092762243722,1.1,0.5
346,500.0,2.0,0.5002883991064139,1.1,0.5
347,500.0,3.0,0.5004396733821275,1.1,0.5
348,500.0,4.0,0.5005473067379489,1.1,0.5
349,500.0,5.0,0.5006185116950583,1.1,0.5
350,10.0,1.0,0.5034368211085738,1.5,0.5
351,10.0,2.0,0.5090080855916661,1.5,0.5
352,10.0,3.0,0.5130708173267389,1.5,0.5
353,10.0,4.0,0.5156442289247279,1.5,0.5
354,10.0,5.0,0.517199054014721,1.5,0.5
355,20.0,1.0,0.5015350421672398,1.5,0.5
356,20.0,2.0,0.5044426566069381,1.5,0.5
357,20.0,3.0,0.5069378931168369,1.5,0.5
358,20.0,4.0,0.5087078812984569,1.5,0.5
359,20.0,5.0,0.5098749525617042,1.5,0.5
360,50.0,1.0,0.5004928411181881,1.5,0.5
361,50.0,2.0,0.5014263676769413,1.5,0.5
362,50.0,3.0,0.5022559737784746,1.5,0.5
363,50.0,4.0,0.5028610188685178,1.5,0.5
364,50.0,5.0,0.5032673395499189,1.5,0.5
365,100.0,1.0,0.5002077701365251,1.5,0.5
366,100.0,2.0,0.5005984275411683,1.5,0.5
367,100.0,3.0,0.5009447481470878,1.5,0.5
368,100.0,4.0,0.5011964603847286,1.5,0.5
369,100.0,5.0,0.5013647781176602,1.5,0.5
370,200.0,1.0,0.5000874754671678,1.5,0.5
371,200.0,2.0,0.5002513787736588,1.5,0.5
372,200.0,3.0,0.5003965757172466,1.5,0.5
373,200.0,4.0,0.5005020045592306,1.5,0.5
374,200.0,5.0,0.5005724157128486,1.5,0.5
375,300.0,1.0,0.5000527195123688,1.5,0.5
376,300.0,2.0,0.5001513901826016,1.5,0.5
377,300.0,3.0,0.5002387883634923,1.5,0.5
378,300.0,4.0,0.5003022389144289,1.5,0.5
379,300.0,5.0,0.5003446051852856,1.5,0.5
380,500.0,1.0,0.5000278497316949,1.5,0.5
381,500.0,2.0,0.5000799282866277,1.5,0.5
382,500.0,3.0,0.5001260549295898,1.5,0.5
383,500.0,4.0,0.5001595409337178,1.5,0.5
384,500.0,5.0,0.5001818977013998,1.5,0.5
385,1000.0,1.0,0.5043430028377184,0.0,0.5
386,1000.0,2.0,0.5095591372179911,0.0,0.5
387,1000.0,3.0,0.5143162142409544,0.0,0.5
388,1000.0,4.0,0.5185930363218358,0.0,0.5
389,1000.0,5.0,0.5224796105495685,0.0,0.5
390,1000.0,1.0,0.5041581708237375,0.01,0.5
391,1000.0,2.0,0.5091415301814055,0.01,0.5
392,1000.0,3.0,0.5136427562422601,0.01,0.5
393,1000.0,4.0,0.5176392156033429,0.01,0.5
394,1000.0,5.0,0.5212219024356808,0.01,0.5
395,1000.0,1.0,0.5039817725160567,0.02,0.5
396,1000.0,2.0,0.5087450328962315,0.02,0.5
397,1000.0,3.0,0.5130080649352053,0.02,0.5
398,1000.0,4.0,0.5167472412528107,0.02,0.5
399,1000.0,5.0,0.5200546349271481,0.02,0.5
400,1000.0,1.0,0.5034990009966168,0.05,0.5
401,1000.0,2.0,0.5076697112656712,0.05,0.5
402,1000.0,3.0,0.5113101257723642,0.05,0.5
403,1000.0,4.0,0.5143954935028064,0.05,0.5
404,1000.0,5.0,0.5170210376785299,0.05,0.5
405,1000.0,1.0,0.5018593268412916,0.2,0.5
406,1000.0,2.0,0.5041041773670768,0.2,0.5
407,1000.0,3.0,0.5059198274034269,0.2,0.5
408,1000.0,4.0,0.5072849120681594,0.2,0.5
409,1000.0,5.0,0.5082891885678139,0.2,0.5
410,1000.0,1.0,0.5008199129635919,0.4,0.5
411,1000.0,2.0,0.5018679754854882,0.4,0.5
412,1000.0,3.0,0.5026953657084229,0.4,0.5
413,1000.0,4.0,0.5032803276596539,0.4,0.5
414,1000.0,5.0,0.5036758181079479,0.4,0.5
415,1000.0,1.0,0.5003682696774631,0.6000000000000001,0.5
416,1000.0,2.0,0.5008734290445416,0.6000000000000001,0.5
417,1000.0,3.0,0.5012763340408681,0.6000000000000001,0.5
418,1000.0,4.0,0.5015577400549338,0.6000000000000001,0.5
419,1000.0,5.0,0.5017435049805298,0.6000000000000001,0.5
420,1000.0,1.0,0.5001677928256728,0.8,0.5
421,1000.0,2.0,0.500415197464218,0.8,0.5
422,1000.0,3.0,0.5006166763755632,0.8,0.5
423,1000.0,4.0,0.5007579546983568,0.8,0.5
424,1000.0,5.0,0.5008508829748383,0.8,0.5
425,1000.0,1.0,0.5000773971735151,1.0,0.5
426,1000.0,2.0,0.5001998701128669,1.0,0.5
427,1000.0,3.0,0.5003020044060844,1.0,0.5
428,1000.0,4.0,0.5003742584066565,1.0,0.5
429,1000.0,5.0,0.5004219135259769,1.0,0.5
430,10.0,1.0,0.532877860534304,0.1,0.5
431,10.0,2.0,0.5692766508739745,0.1,0.5
432,10.0,3.0,0.5942211798182381,0.1,0.5
433,10.0,4.0,0.6105949300744457,0.1,0.5
434,10.0,5.0,0.6212482207789854,0.1,0.5
435,20.0,1.0,0.523715265014403,0.1,0.5
436,20.0,2.0,0.5529391189292833,0.1,0.5
437,20.0,3.0,0.5766072623152164,0.1,0.5
438,20.0,4.0,0.5946377373372278,0.1,0.5
439,20.0,5.0,0.6082008287380772,0.1,0.5
440,50.0,1.0,0.5145920765770371,0.1,0.5
