,N,T,XN,f,x
73,20.0,4.0,0.5252681487613742,1.0,0.5
74,20.0,5.0,0.526884294384693,1.0,0.5
75,20.0,6.0,0.527747467055859,1.0,0.5
76,20.0,7.0,0.52820548509555,1.0,0.5
77,20.0,8.0,0.5284477298497819,1.0,0.5
78,20.0,9.0,0.5285756396336593,1.0,0.5
79,20.0,10.0,0.528643120360243,1.0,0.5
80,50.0,1.0,0.5040359275138784,1.0,0.5
81,50.0,2.0,0.5079163885524771,1.0,0.5
82,50.0,3.0,0.510127640232841,1.0,0.5
83,50.0,4.0,0.5112643271540774,1.0,0.5
84,50.0,5.0,0.5118274100456621,1.0,0.5
85,50.0,6.0,0.5121019056463847,1.0,0.5
86,50.0,7.0,0.5122346865696445,1.0,0.5
87,50.0,8.0,0.512298659231231,1.0,0.5
88,50.0,9.0,0.5123294136104903,1.0,0.5
89,50.0,10.0,0.5123441804896808,1.0,0.5
90,100.0,1.0,0.5023505051273046,1.0,0.5
91,100.0,2.0,0.5045029955346494,1.0,0.5
92,100.0,3.0,0.5056630631625615,1.0,0.5
93,100.0,4.0,0.5062235368203842,1.0,0.5
94,100.0,5.0,0.5064836046283109,1.0,0.5
95,100.0,6.0,0.5066021761553303,1.0,0.5
96,100.0,7.0,0.5066557911633073,1.0,0.5
97,100.0,8.0,0.5066799368031186,1.0,0.5
98,100.0,9.0,0.5066907889413932,1.0,0.5
99,100.0,10.0,0.5066956614137463,1.0,0.5
100,200.0,1.0,0.5013735899748091,1.0,0.5
101,200.0,2.0,0.5025852203318449,1.0,0.5
102,200.0,3.0,0.5032107909999063,1.0,0.5
103,200.0,4.0,0.50349962206479,1.0,0.5
104,200.0,5.0,0.5036276278399692,1.0,0.5
105,200.0,6.0,0.5036833844912618,1.0,0.5
106,200.0,7.0,0.5037074833063417,1.0,0.5
107,200.0,8.0,0.5037178620767742,1.0,0.5
108,200.0,9.0,0.5037223245447778,1.0,0.5
109,200.0,10.0,0.5037242417415926,1.0,0.5
110,300.0,1.0,0.5010046112886942,1.0,0.5
111,300.0,2.0,0.5018748888624628,1.0,0.5
112,300.0,3.0,0.5023150336099417,1.0,0.5
113,300.0,4.0,0.5025139897650958,1.0,0.5
114,300.0,5.0,0.5026003321232684,1.0,0.5
115,300.0,6.0,0.5026371742117653,1.0,0.5
116,300.0,7.0,0.5026527788568824,1.0,0.5
117,300.0,8.0,0.5026593664849179,1.0,0.5
118,300.0,9.0,0.502662143364213,1.0,0.5
119,300.0,10.0,0.5026633131102782,1.0,0.5
120,10.0,1.0,0.5056037994041545,2.0,0.5
121,10.0,2.0,0.5114805260169137,2.0,0.5
122,10.0,3.0,0.514489779042538,2.0,0.5
123,10.0,4.0,0.5158427997413232,2.0,0.5
124,10.0,5.0,0.5164257077473063,2.0,0.5
125,10.0,6.0,0.5166728638956541,2.0,0.5
126,10.0,7.0,0.5167770116000978,2.0,0.5
127,10.0,8.0,0.5168207904378387,2.0,0.5
128,10.0,9.0,0.5168391751161059,2.0,0.5
129,10.0,10.0,0.5168468926662012,2.0,0.5
130,20.0,1.0,0.502724769260246,2.0,0.5
131,20.0,2.0,0.5055283621493393,2.0,0.5
132,20.0,3.0,0.506980970936603,2.0,0.5
133,20.0,4.0,0.5076332529292784,2.0,0.5
134,20.0,5.0,0.5079113880470716,2.0,0.5
135,20.0,6.0,0.5080274407136078,2.0,0.5
136,20.0,7.0,0.5080754001308226,2.0,0.5
137,20.0,8.0,0.5080951331018069,2.0,0.5
138,20.0,9.0,0.5081032359564086,2.0,0.5
139,20.0,10.0,0.5081065601060282,2.0,0.5
140,50.0,1.0,0.5010530012818337,2.0,0.5
141,50.0,2.0,0.50206448141417,2.0,0.5
142,50.0,3.0,0.502558560278905,2.0,0.5
143,50.0,4.0,0.5027680883409201,2.0,0.5
144,50.0,5.0,0.5028527004625831,2.0,0.5
145,50.0,6.0,0.502886219673634,2.0,0.5
146,50.0,7.0,0.5028993945937781,2.0,0.5
147,50.0,8.0,0.5029045562059984,2.0,0.5
148,50.0,9.0,0.5029065756398983,2.0,0.5
149,50.0,10.0,0.5029073652722731,2.0,0.5
150,100.0,1.0,0.5005178792279215,2.0,0.5
151,100.0,2.0,0.5009999942294487,2.0,0.5
152,100.0,3.0,0.5012289600819201,2.0,0.5
153,100.0,4.0,0.5013236117381424,2.0,0.5
154,100.0,5.0,0.5013609606236117,2.0,0.5
155,100.0,6.0,0.5013754422290053,2.0,0.5
156,100.0,7.0,0.5013810189180444,2.0,0.5
157,100.0,8.0,0.5013831605899017,2.0,0.5
158,100.0,9.0,0.5013839821832581,2.0,0.5
159,100.0,10.0,0.5013842972276846,2.0,0.5
160,200.0,1.0,0.5002560594686828,2.0,0.5
161,200.0,2.0,0.5004895600413701,2.0,0.5
162,200.0,3.0,0.5005983843560506,2.0,0.5
163,200.0,4.0,0.5006426315416428,2.0,0.5
164,200.0,5.0,0.5006598346289267,2.0,0.5
165,200.0,6.0,0.5006664140358152,2.0,0.5
166,200.0,7.0,0.500668914633916,2.0,0.5
167,200.0,8.0,0.5006698627208274,2.0,0.5
168,200.0,9.0,0.5006702218438057,2.0,0.5
169,200.0,10.0,0.5006703578250086,2.0,0.5
170,300.0,1.0,0.5001698871838799,2.0,0.5
171,300.0,2.0,0.5003234488338119,2.0,0.5
172,300.0,3.0,0.5003944351412108,2.0,0.5
173,300.0,4.0,0.5004230938708171,2.0,0.5
174,300.0,5.0,0.5004341663095327,2.0,0.5
175,300.0,6.0,0.5004383763737961,2.0,0.5
176,300.0,7.0,0.5004399675400726,2.0,0.5
177,300.0,8.0,0.5004405675259729,2.0,0.5
178,300.0,9.0,0.500440793564073,2.0,0.5
179,300.0,10.0,0.500440878692388,2.0,0.5
