,N,T,XN,f,x,VN
122,300.0,1.0,0.5013281684658818,0.4,0.5,0.0007277337771419148
123,300.0,2.0,0.5023019658818764,0.4,0.5,0.0008364920346625726
124,500.0,1.0,0.5009282918177101,0.4,0.5,0.0004357442336971329
125,500.0,2.0,0.5016069976571441,0.4,0.5,0.0004997933173283009
126,1000.0,1.0,0.5005710641695085,0.4,0.5,0.00021742295108478915
127,1000.0,2.0,0.5009873820678299,0.4,0.5,0.00024879065673211187
128,10.0,1.0,0.5120846913933197,0.5,0.5,0.02283819823464378
129,10.0,2.0,0.5215302591293112,0.5,0.5,0.02623023716397416
130,20.0,1.0,0.5071693068822631,0.5,0.5,0.011181317019546113
131,20.0,2.0,0.5127578957916739,0.5,0.5,0.012921252430166895
132,50.0,1.0,0.503588622540341,0.5,0.5,0.0044015646646818896
133,50.0,2.0,0.5063353032958889,0.5,0.5,0.005065643620237148
134,100.0,1.0,0.5021289118817627,0.5,0.5,0.002186468704829414
135,100.0,2.0,0.5037455291839589,0.5,0.5,0.0025084681367717465
136,200.0,1.0,0.5012639778062816,0.5,0.5,0.0010888894013626473
137,200.0,2.0,0.5022189615191149,0.5,0.5,0.001245966522342934
138,300.0,1.0,0.5009319816159702,0.5,0.5,0.0007247688600184876
139,300.0,2.0,0.5016346446482463,0.5,0.5,0.0008282610087028688
140,500.0,1.0,0.5006349994791682,0.5,0.5,0.00043421133081239516
141,500.0,2.0,0.5011127753292398,0.5,0.5,0.0004955434804604919
142,1000.0,1.0,0.5003773737529438,0.5,0.5,0.00021680204710439188
143,1000.0,2.0,0.5006607451159822,0.5,0.5,0.0002470710097895457
144,10.0,1.0,0.5101345321486875,0.6,0.5,0.02271210178637912
145,10.0,2.0,0.5182291046230179,0.6,0.5,0.025880128897112387
146,20.0,1.0,0.5057910447382561,0.6,0.5,0.011123245218820688
147,20.0,2.0,0.5104119654733281,0.6,0.5,0.012752990595208845
148,50.0,1.0,0.5027651322174242,0.6,0.5,0.00438364592991991
149,50.0,2.0,0.5049372046321849,0.6,0.5,0.0050145717908709475
150,100.0,1.0,0.5015840666121073,0.6,0.5,0.002179356686040579
151,100.0,2.0,0.5028203941330985,0.6,0.5,0.0024883313991792555
152,200.0,1.0,0.5009084270898433,0.6,0.5,0.0010861204118115528
153,200.0,2.0,0.5016146679726198,0.6,0.5,0.0012381510500847905
154,300.0,1.0,0.5006563969086005,0.6,0.5,0.0007231850400659656
155,300.0,2.0,0.5011659075082118,0.6,0.5,0.0008237946862587607
156,500.0,1.0,0.5004359787729811,0.6,0.5,0.0004334324050034311
157,500.0,2.0,0.5007739059491663,0.6,0.5,0.0004933480645415433
158,1000.0,1.0,0.5002502939117672,0.6,0.5,0.000216507285883516
159,1000.0,2.0,0.5004440381039001,0.6,0.5,0.00024624021949964936
160,10.0,1.0,0.508517693643183,0.7,0.5,0.022617742558345973
161,10.0,2.0,0.515474675919936,0.7,0.5,0.025614715599814764
162,20.0,1.0,0.5046909080998991,0.7,0.5,0.01108253436065476
163,20.0,2.0,0.5085261485292449,0.7,0.5,0.012633463766706987
164,50.0,1.0,0.5021374398290395,0.7,0.5,0.0043721587878033374
165,50.0,2.0,0.5038620667152778,0.7,0.5,0.004981354036726504
166,100.0,1.0,0.5011825786998,0.7,0.5,0.002175094545211476
167,100.0,2.0,0.5021318531879811,0.7,0.5,0.002476071922598189
168,200.0,1.0,0.5006550850894078,0.7,0.5,0.001084569391685386
169,200.0,2.0,0.5011793734780562,0.7,0.5,0.0012336983831263135
170,300.0,1.0,0.5004638560195237,0.7,0.5,0.000722332351993038
171,300.0,2.0,0.5008346786346869,0.7,0.5,0.000821347447968912
172,500.0,1.0,0.5003003379695885,0.7,0.5,0.0004330335256937934
173,500.0,2.0,0.500540197020228,0.7,0.5,0.0004922030523165644
174,1000.0,1.0,0.5001665601005543,0.7,0.5,0.00021636628353061127
175,1000.0,2.0,0.5002994634542305,0.7,0.5,0.00024583513722986616
176,10.0,1.0,0.5071741911250768,0.8,0.5,0.022546804202988824
177,10.0,2.0,0.5131692657679034,0.8,0.5,0.02541251926341637
178,20.0,1.0,0.5038100052737338,0.8,0.5,0.011053815504743159
179,20.0,2.0,0.5070036304590194,0.8,0.5,0.012547938976090078
180,50.0,1.0,0.5016572037247319,0.8,0.5,0.004364743824545825
181,50.0,2.0,0.5030311874317698,0.8,0.5,0.004959570623304266
182,100.0,1.0,0.5008855776358704,0.8,0.5,0.0021725222703819487
183,100.0,2.0,0.501616825561551,0.8,0.5,0.0024685456260525873
184,200.0,1.0,0.5004738646800941,0.8,0.5,0.001083694480446984
185,200.0,2.0,0.5008642783753872,0.8,0.5,0.0012311406453671125
186,300.0,1.0,0.5003288121583134,0.8,0.5,0.0007218700712702253
187,300.0,2.0,0.5005994995203312,0.8,0.5,0.0008199956560717702
188,500.0,1.0,0.5002075385299043,0.8,0.5,0.0004328278490815518
189,500.0,2.0,0.5003782716813072,0.8,0.5,0.0004916011665528354
190,1000.0,1.0,0.5001111800949498,0.8,0.5,0.00021629837431341722
191,1000.0,2.0,0.5002025909176429,0.8,0.5,0.00024563613262812417
192,10.0,1.0,0.5060553551817341,0.9,0.5,0.02249323325282476
193,10.0,2.0,0.5112340126600908,0.9,0.5,0.025257760044550104
194,20.0,1.0,0.5031025371136272,0.9,0.5,0.011033436170245936
195,20.0,2.0,0.5057696159753188,0.9,0.5,0.012486332910703946
196,50.0,1.0,0.5012885158122785,0.9,0.5,0.004359926816087489
197,50.0,2.0,0.5023863171500689,0.9,0.5,0.004945180763687772
198,100.0,1.0,0.5006650911641004,0.9,0.5,0.002170959812431872
199,100.0,2.0,0.5012299438390593,0.9,0.5,0.002463891276503982
