,N,T,XN,f,x
99,300.0,5.0,0.4997060903820893,2.0,0.4993262221448578
100,500.0,1.0,0.4632494243867027,2.0,0.4632122398233412
101,500.0,2.0,0.4865219646004567,2.0,0.4864666070118481
102,500.0,3.0,0.4951362894231791,2.0,0.4950213678437506
103,500.0,4.0,0.4983448472711058,2.0,0.4981684727422788
104,500.0,5.0,0.4995438408088654,2.0,0.4993262221448578
105,1000.0,1.0,0.4632316761445317,0.0,0.4632122398233412
106,1000.0,2.0,0.4867507804861289,0.0,0.4864666070118481
107,1000.0,3.0,0.4963563265567045,0.0,0.4950213678437506
108,1000.0,4.0,0.5007792889613135,0.0,0.4981684727422788
109,1000.0,5.0,0.502952962026697,0.0,0.4993262221448578
110,2000.0,1.0,0.4632212676694975,0.0,0.4632122398233412
111,2000.0,2.0,0.48654315716636,0.0,0.4864666070118481
112,2000.0,3.0,0.4956663073361636,0.0,0.4950213678437506
113,2000.0,4.0,0.4997161137159229,0.0,0.4981684727422788
114,2000.0,5.0,0.5016718537513991,0.0,0.4993262221448578
115,1000.0,1.0,0.4632306626296146,1.0,0.4632122398233412
116,1000.0,2.0,0.4865362619182296,1.0,0.4864666070118481
117,1000.0,3.0,0.4953186968537886,1.0,0.4950213678437506
118,1000.0,4.0,0.4987380932522506,1.0,0.4981684727422788
119,1000.0,5.0,0.5000959899167279,1.0,0.4993262221448578
120,2000.0,1.0,0.4632212564306064,1.0,0.4632122398233412
121,2000.0,2.0,0.4864849293826764,1.0,0.4864666070118481
122,2000.0,3.0,0.4951407371352246,1.0,0.4950213678437506
123,2000.0,4.0,0.498449554531897,1.0,0.4981684727422788
124,2000.0,5.0,0.4997401972257443,1.0,0.4993262221448578
125,1000.0,1.0,0.4632304769968936,2.0,0.4632122398233412
126,1000.0,2.0,0.48648668548720597,2.0,0.4864666070118481
127,1000.0,3.0,0.4950656646648074,2.0,0.4950213678437506
128,1000.0,4.0,0.4982454975836232,2.0,0.4981684727422788
129,1000.0,5.0,0.4994276178409771,2.0,0.4993262221448578
130,2000.0,1.0,0.4632212549041179,2.0,0.4632122398233412
131,2000.0,2.0,0.4864743599131347,2.0,0.4864666070118481
132,2000.0,3.0,0.4950373084126226,2.0,0.4950213678437506
133,2000.0,4.0,0.4982009254053471,2.0,0.4981684727422788
134,2000.0,5.0,0.4993727795243994,2.0,0.4993262221448578
135,3000.0,1.0,0.4632181882890135,0.0,0.4632122398233412
136,3000.0,2.0,0.4864964013461591,0.0,0.4864666070118481
137,3000.0,3.0,0.4954183273550763,0.0,0.4950213678437506
138,3000.0,4.0,0.4992825512454263,0.0,0.4981684727422788
139,3000.0,5.0,0.5011251901664545,0.0,0.4993262221448578
140,3000.0,1.0,0.4632181880833803,1.0,0.4632122398233412
141,3000.0,2.0,0.4864747033614288,1.0,0.4864666070118481
142,3000.0,3.0,0.4950873870109017,1.0,0.4950213678437506
143,3000.0,4.0,0.4983505387929417,1.0,0.4981684727422788
144,3000.0,5.0,0.4996120283656433,1.0,0.4993262221448578
145,3000.0,1.0,0.4632181880600978,2.0,0.4632122398233412
146,3000.0,2.0,0.4864712953486078,2.0,0.4864666070118481
147,3000.0,3.0,0.4950298252201731,2.0,0.4950213678437506
148,3000.0,4.0,0.4981876183523663,2.0,0.4981684727422788
149,3000.0,5.0,0.4993554715867359,2.0,0.4993262221448578
